Action,Intention
1,Predicted
1,Predicted
3,Random
1,Random
0,Random
3,Random
1,Random
2,Random
5,Predicted
0,Random
0,Random
5,Predicted
3,Random
0,Predicted
2,Random
2,Random
5,Predicted
3,Random
1,Random
2,Random
0,Random
0,Random
5,Predicted
2,Random
3,Random
5,Predicted
0,Random
1,Random
3,Random
1,Random
1,Random
2,Random
1,Predicted
5,Predicted
1,Predicted
2,Random
0,Random
2,Random
2,Random
5,Predicted
5,Predicted
0,Random
0,Random
5,Predicted
0,Random
3,Random
5,Predicted
3,Random
5,Predicted
5,Predicted
3,Random
1,Random
1,Predicted
1,Random
5,Predicted
5,Predicted
2,Random
5,Predicted
1,Random
2,Random
0,Random
1,Predicted
0,Random
2,Random
2,Random
1,Predicted
5,Predicted
1,Random
3,Random
0,Random
2,Random
1,Predicted
2,Random
1,Random
2,Random
3,Random
2,Random
5,Predicted
3,Random
0,Random
2,Random
1,Random
1,Random
0,Random
3,Random
1,Random
3,Random
2,Random
1,Random
3,Random
1,Random
5,Predicted
2,Random
3,Random
2,Random
3,Random
0,Random
3,Random
5,Predicted
2,Random
7,Predicted
0,Random
1,Random
1,Random
0,Random
1,Random
5,Predicted
2,Random
7,Predicted
5,Predicted
1,Random
1,Predicted
5,Predicted
0,Random
1,Random
0,Random
2,Random
5,Predicted
3,Random
0,Random
3,Random
0,Random
0,Random
5,Predicted
5,Predicted
3,Random
3,Random
0,Random
1,Random
1,Random
0,Random
7,Predicted
2,Random
3,Random
5,Predicted
2,Random
0,Random
0,Random
2,Random
0,Random
5,Predicted
2,Random
1,Predicted
1,Predicted
1,Random
7,Predicted
2,Random
5,Predicted
5,Predicted
3,Random
5,Predicted
5,Predicted
5,Predicted
2,Random
5,Predicted
1,Random
2,Random
5,Predicted
3,Random
0,Random
0,Random
1,Random
5,Predicted
7,Predicted
3,Random
0,Random
0,Random
2,Random
3,Random
1,Random
3,Random
3,Random
2,Random
1,Random
1,Predicted
7,Predicted
2,Random
3,Random
0,Random
0,Random
1,Predicted
3,Random
1,Predicted
2,Random
2,Random
2,Random
2,Random
3,Random
2,Random
1,Random
2,Random
1,Predicted
2,Random
1,Random
1,Predicted
3,Random
3,Random
1,Random
1,Predicted
1,Random
1,Predicted
3,Random
0,Random
1,Predicted
0,Random
2,Random
5,Predicted
1,Random
5,Predicted
2,Random
2,Random
5,Predicted
5,Predicted
2,Random
1,Random
2,Random
0,Random
3,Random
5,Predicted
2,Random
3,Random
0,Random
1,Random
1,Predicted
0,Predicted
1,Random
3,Random
3,Random
2,Random
1,Random
1,Random
5,Predicted
2,Random
2,Random
2,Random
5,Predicted
5,Predicted
1,Predicted
2,Random
1,Random
0,Predicted
0,Random
0,Random
0,Random
0,Random
0,Predicted
2,Random
3,Random
1,Random
5,Predicted
3,Random
2,Random
7,Predicted
2,Random
1,Random
7,Predicted
0,Random
7,Predicted
7,Predicted
1,Random
1,Random
2,Random
3,Random
0,Random
1,Random
7,Predicted
1,Random
2,Random
0,Random
3,Random
1,Random
2,Random
2,Random
0,Random
2,Random
3,Random
0,Predicted
5,Predicted
0,Random
5,Predicted
1,Random
1,Predicted
3,Random
3,Random
7,Predicted
1,Random
5,Predicted
0,Random
5,Predicted
2,Random
1,Random
0,Random
2,Random
1,Predicted
1,Predicted
2,Random
5,Predicted
1,Random
1,Random
0,Random
1,Random
3,Random
3,Random
1,Random
3,Random
2,Random
0,Random
5,Predicted
3,Random
5,Predicted
1,Predicted
1,Random
1,Random
2,Random
1,Random
3,Random
1,Random
0,Random
1,Random
5,Predicted
0,Random
2,Random
0,Random
3,Random
0,Random
2,Random
1,Random
0,Random
1,Random
2,Random
0,Random
2,Random
2,Random
0,Random
1,Random
1,Random
0,Random
2,Random
5,Predicted
3,Random
3,Random
1,Random
1,Random
1,Random
5,Predicted
5,Predicted
2,Random
0,Random
0,Random
0,Random
2,Random
3,Random
2,Random
2,Random
2,Random
3,Random
3,Random
0,Random
1,Random
3,Random
2,Random
1,Random
2,Random
5,Predicted
5,Predicted
5,Predicted
1,Random
1,Random
0,Random
2,Random
7,Predicted
0,Random
3,Random
1,Predicted
2,Random
2,Random
0,Random
0,Random
3,Random
2,Random
7,Predicted
1,Random
2,Random
1,Random
3,Random
7,Predicted
7,Predicted
1,Random
2,Random
0,Random
7,Predicted
0,Random
3,Random
3,Random
1,Random
3,Random
3,Random
3,Random
3,Random
2,Random
1,Predicted
1,Predicted
3,Random
2,Random
2,Random
1,Predicted
1,Predicted
2,Random
3,Random
0,Random
3,Random
0,Random
7,Predicted
3,Random
5,Predicted
0,Random
1,Predicted
0,Random
3,Random
5,Predicted
3,Random
5,Predicted
3,Random
1,Random
3,Random
5,Predicted
2,Random
0,Random
5,Predicted
1,Random
5,Predicted
1,Random
5,Predicted
1,Predicted
3,Random
2,Random
3,Random
1,Random
3,Random
3,Random
1,Predicted
3,Random
1,Random
3,Random
1,Random
3,Random
2,Random
2,Random
1,Random
2,Random
2,Random
0,Random
1,Predicted
5,Predicted
2,Random
2,Random
5,Predicted
2,Random
1,Random
1,Predicted
2,Random
1,Predicted
1,Random
1,Predicted
0,Random
3,Random
2,Random
0,Random
2,Random
3,Random
3,Random
2,Random
1,Predicted
5,Predicted
1,Random
2,Random
2,Random
0,Random
5,Predicted
5,Predicted
5,Predicted
5,Predicted
2,Random
2,Random
1,Random
2,Random
5,Predicted
0,Random
5,Predicted
2,Random
0,Random
3,Random
5,Predicted
2,Random
5,Predicted
1,Predicted
1,Random
3,Random
5,Predicted
1,Random
3,Random
1,Predicted
0,Random
1,Random
7,Predicted
5,Predicted
3,Random
3,Random
2,Random
1,Random
1,Predicted
1,Predicted
1,Predicted
1,Predicted
3,Random
1,Random
3,Random
0,Predicted
1,Random
1,Random
3,Random
5,Predicted
5,Predicted
5,Predicted
3,Random
0,Random
2,Random
0,Random
1,Predicted
1,Predicted
2,Random
1,Random
0,Random
1,Random
5,Predicted
5,Predicted
5,Predicted
0,Random
1,Predicted
1,Random
0,Random
5,Predicted
5,Predicted
3,Random
3,Random
0,Random
0,Random
1,Random
3,Random
2,Random
5,Predicted
0,Random
1,Random
7,Predicted
0,Random
2,Random
5,Predicted
1,Random
2,Random
7,Predicted
3,Random
3,Random
3,Random
1,Random
5,Predicted
3,Random
5,Predicted
2,Random
1,Random
5,Predicted
1,Random
3,Random
3,Random
3,Random
0,Random
5,Predicted
0,Random
5,Predicted
5,Predicted
1,Random
1,Predicted
0,Random
1,Random
2,Random
1,Random
3,Random
1,Predicted
1,Random
0,Random
3,Random
7,Predicted
0,Random
1,Random
0,Random
0,Random
1,Random
1,Predicted
1,Random
7,Predicted
2,Random
2,Random
1,Random
2,Random
1,Random
3,Random
2,Random
2,Random
2,Random
0,Random
1,Predicted
0,Random
0,Random
0,Random
2,Random
0,Random
1,Predicted
7,Predicted
2,Random
1,Random
7,Predicted
7,Predicted
1,Random
7,Predicted
7,Predicted
3,Random
2,Random
7,Predicted
0,Random
2,Random
0,Random
0,Random
7,Predicted
2,Random
1,Predicted
1,Predicted
5,Predicted
3,Random
2,Random
3,Random
1,Predicted
1,Predicted
1,Random
5,Predicted
0,Random
7,Predicted
1,Predicted
3,Random
2,Predicted
2,Random
5,Predicted
0,Random
5,Predicted
1,Random
0,Random
0,Random
1,Random
2,Random
1,Random
1,Predicted
0,Random
3,Random
0,Random
2,Random
0,Random
1,Random
2,Random
3,Random
2,Random
1,Predicted
1,Random
5,Predicted
5,Predicted
1,Predicted
7,Predicted
3,Random
1,Random
3,Random
2,Random
0,Random
5,Predicted
5,Predicted
1,Random
0,Random
7,Predicted
2,Random
0,Random
3,Random
1,Random
7,Predicted
1,Random
2,Random
1,Random
5,Predicted
5,Predicted
0,Random
3,Random
1,Random
2,Random
7,Predicted
2,Random
1,Random
3,Random
1,Random
3,Random
1,Random
1,Random
3,Random
7,Predicted
0,Random
0,Random
1,Random
2,Random
0,Random
0,Random
3,Random
0,Random
5,Predicted
3,Random
0,Random
2,Random
2,Random
5,Predicted
5,Predicted
5,Predicted
5,Predicted
3,Random
0,Random
2,Random
3,Random
5,Predicted
5,Predicted
5,Predicted
5,Predicted
5,Predicted
3,Random
2,Random
0,Random
5,Predicted
5,Predicted
3,Random
5,Predicted
2,Random
3,Random
5,Predicted
2,Random
5,Predicted
1,Random
0,Random
3,Random
3,Random
1,Random
1,Random
5,Predicted
5,Predicted
5,Predicted
1,Random
0,Random
5,Predicted
0,Random
5,Predicted
1,Random
3,Random
2,Random
1,Random
1,Random
1,Predicted
3,Random
0,Random
2,Random
2,Random
2,Random
1,Random
1,Predicted
1,Random
7,Predicted
7,Predicted
5,Predicted
1,Random
0,Random
5,Predicted
3,Random
1,Random
1,Predicted
0,Random
1,Random
2,Random
1,Predicted
2,Random
0,Random
1,Predicted
1,Random
1,Predicted
1,Predicted
1,Predicted
3,Random
1,Random
1,Random
2,Random
1,Random
2,Random
1,Random
2,Random
3,Random
3,Random
1,Predicted
2,Random
2,Random
1,Predicted
2,Random
5,Predicted
1,Predicted
0,Random
7,Predicted
1,Predicted
2,Random
0,Random
1,Random
2,Random
3,Random
0,Random
1,Random
2,Random
1,Predicted
3,Random
0,Random
0,Random
1,Random
2,Random
3,Random
0,Random
0,Random
1,Predicted
1,Predicted
1,Random
2,Random
0,Random
0,Random
7,Predicted
1,Predicted
3,Random
0,Random
3,Random
3,Random
3,Random
3,Random
1,Predicted
0,Random
0,Predicted
1,Random
0,Random
0,Random
7,Predicted
3,Random
1,Random
2,Random
1,Predicted
2,Random
5,Predicted
1,Predicted
3,Random
1,Random
1,Random
0,Random
0,Random
1,Random
3,Random
2,Random
3,Random
5,Predicted
5,Predicted
5,Predicted
5,Predicted
1,Random
1,Random
2,Random
1,Random
0,Random
2,Random
2,Random
5,Predicted
5,Predicted
2,Random
2,Random
3,Random
2,Random
1,Predicted
1,Predicted
7,Predicted
1,Predicted
3,Random
1,Predicted
2,Random
1,Random
0,Random
2,Random
1,Random
0,Random
3,Random
1,Predicted
2,Random
1,Predicted
0,Random
5,Predicted
0,Random
2,Random
1,Random
0,Random
3,Random
3,Random
1,Random
2,Random
1,Predicted
1,Predicted
1,Predicted
1,Predicted
0,Random
0,Random
1,Predicted
3,Random
0,Random
1,Predicted
5,Predicted
0,Random
0,Random
2,Random
2,Random
0,Random
5,Predicted
1,Random
1,Random
5,Predicted
5,Predicted
2,Random
5,Predicted
3,Random
2,Random
1,Random
5,Predicted
5,Predicted
1,Random
0,Random
3,Random
0,Random
5,Predicted
0,Random
2,Random
3,Random
2,Random
2,Random
5,Predicted
1,Random
5,Predicted
2,Random
5,Predicted
5,Predicted
0,Random
5,Predicted
5,Predicted
0,Random
1,Random
5,Predicted
5,Predicted
5,Predicted
2,Random
1,Random
3,Random
3,Random
1,Random
3,Random
0,Random
0,Random
3,Random
5,Predicted
3,Random
5,Predicted
3,Random
1,Random
3,Random
0,Random
1,Random
0,Random
5,Predicted
5,Predicted
5,Predicted
5,Predicted
5,Predicted
0,Random
1,Random
5,Predicted
7,Predicted
2,Random
0,Random
2,Random
0,Random
5,Predicted
5,Predicted
5,Predicted
5,Predicted
5,Predicted
3,Random
5,Predicted
3,Random
2,Random
5,Predicted
5,Predicted
3,Random
3,Random
1,Random
2,Random
1,Random
1,Random
2,Random
3,Random
3,Random
0,Random
2,Random
5,Predicted
2,Random
2,Random
5,Predicted
2,Random
1,Random
2,Random
1,Random
5,Predicted
5,Predicted
5,Predicted
3,Random
1,Random
1,Predicted
1,Predicted
2,Random
0,Random
0,Random
2,Random
0,Random
7,Predicted
5,Predicted
3,Random
0,Random
3,Random
3,Random
5,Predicted
2,Random
5,Predicted
3,Random
0,Random
1,Predicted
1,Predicted
2,Random
0,Random
7,Predicted
1,Predicted
0,Random
1,Random
1,Predicted
1,Predicted
1,Random
1,Random
3,Random
2,Random
2,Random
5,Predicted
5,Predicted
5,Predicted
3,Random
2,Random
2,Random
3,Random
1,Predicted
3,Random
0,Random
0,Random
3,Random
3,Random
0,Random
1,Predicted
0,Random
1,Predicted
1,Random
2,Random
2,Random
3,Random
3,Random
5,Predicted
0,Random
0,Random
1,Random
3,Random
3,Random
1,Random
5,Predicted
2,Random
1,Predicted
5,Predicted
2,Random
1,Random
2,Random
3,Random
5,Predicted
3,Random
5,Predicted
5,Predicted
0,Random
5,Predicted
5,Predicted
5,Predicted
3,Random
5,Predicted
1,Predicted
2,Random
1,Predicted
0,Random
3,Random
1,Random
0,Random
2,Random
1,Random
0,Random
0,Random
1,Random
2,Random
3,Random
1,Predicted
0,Random
5,Predicted
1,Random
5,Predicted
7,Predicted
1,Random
3,Random
0,Random
1,Random
7,Predicted
0,Random
5,Predicted
5,Predicted
7,Predicted
0,Random
1,Random
1,Random
5,Predicted
2,Random
0,Random
2,Random
3,Random
2,Random
5,Predicted
1,Random
0,Random
0,Random
2,Random
3,Random
3,Random
1,Random
7,Predicted
5,Predicted
3,Random
3,Random
2,Random
2,Random
0,Random
7,Predicted
1,Random
1,Predicted
3,Random
2,Random
3,Random
3,Random
2,Random
1,Random
5,Predicted
1,Random
2,Random
0,Random
1,Predicted
1,Predicted
3,Random
1,Random
1,Random
2,Random
0,Random
1,Random
1,Predicted
1,Random
2,Random
7,Predicted
2,Random
2,Random
1,Predicted
1,Predicted
1,Random
2,Random
1,Predicted
0,Random
1,Predicted
0,Random
7,Predicted
0,Random
1,Random
0,Random
3,Random
2,Random
1,Predicted
2,Random
3,Random
1,Predicted
1,Random
5,Predicted
2,Random
0,Random
7,Predicted
2,Random
2,Random
0,Random
1,Random
0,Random
0,Random
0,Predicted
2,Random
3,Random
2,Random
5,Predicted
0,Random
1,Random
3,Random
7,Predicted
0,Random
1,Random
2,Random
0,Random
1,Random
7,Predicted
5,Predicted
0,Random
1,Random
3,Random
1,Predicted
5,Predicted
1,Random
1,Random
1,Random
1,Random
0,Random
2,Random
3,Random
0,Random
5,Predicted
1,Predicted
3,Random
5,Predicted
1,Predicted
1,Predicted
1,Random
5,Predicted
0,Random
1,Predicted
5,Predicted
7,Predicted
1,Predicted
3,Random
1,Predicted
2,Random
0,Random
5,Predicted
1,Random
5,Predicted
2,Random
1,Random
1,Random
2,Random
3,Random
5,Predicted
1,Predicted
0,Random
5,Predicted
0,Random
5,Predicted
3,Random
0,Random
0,Random
1,Random
1,Random
5,Predicted
2,Random
3,Random
3,Random
3,Random
2,Random
5,Predicted
5,Predicted
5,Predicted
3,Random
3,Random
3,Random
1,Random
2,Random
2,Random
1,Random
1,Random
5,Predicted
0,Random
0,Random
2,Random
7,Predicted
7,Predicted
3,Random
2,Random
7,Predicted
5,Predicted
7,Predicted
7,Predicted
2,Random
1,Random
2,Random
3,Random
5,Predicted
1,Random
3,Random
0,Random
1,Predicted
7,Predicted
2,Random
1,Random
3,Random
0,Random
0,Random
1,Random
3,Random
2,Random
2,Random
1,Random
1,Random
0,Random
2,Random
0,Random
1,Predicted
0,Random
1,Random
1,Random
0,Random
2,Random
0,Random
5,Predicted
0,Random
0,Random
0,Random
1,Random
0,Random
1,Random
3,Random
1,Random
5,Predicted
3,Random
2,Random
0,Random
1,Random
1,Predicted
1,Random
1,Predicted
3,Random
0,Random
1,Random
5,Predicted
3,Random
0,Random
7,Predicted
3,Random
2,Random
3,Random
5,Predicted
0,Random
2,Random
2,Random
1,Random
5,Predicted
3,Random
5,Predicted
0,Random
3,Random
2,Random
2,Random
0,Random
0,Random
2,Random
3,Random
0,Random
1,Random
1,Random
1,Random
5,Predicted
2,Random
3,Random
0,Random
3,Random
0,Random
1,Random
0,Random
2,Random
5,Predicted
5,Predicted
2,Random
5,Predicted
1,Random
1,Random
0,Random
1,Random
0,Random
1,Random
5,Predicted
2,Random
1,Random
5,Predicted
3,Random
0,Predicted
0,Random
2,Random
3,Random
1,Predicted
3,Random
1,Predicted
7,Predicted
2,Random
3,Random
0,Random
0,Random
1,Random
1,Predicted
2,Random
5,Predicted
1,Random
5,Predicted
3,Random
1,Random
5,Predicted
1,Random
1,Random
2,Random
2,Random
5,Predicted
5,Predicted
5,Predicted
5,Predicted
1,Random
0,Random
0,Random
1,Random
3,Random
1,Random
0,Random
0,Random
2,Random
1,Random
1,Random
2,Random
2,Random
3,Random
2,Random
1,Random
3,Random
3,Random
5,Predicted
5,Predicted
0,Random
3,Random
0,Random
0,Predicted
1,Random
2,Random
2,Random
3,Random
2,Random
0,Random
0,Predicted
3,Random
2,Random
0,Random
3,Random
0,Random
1,Predicted
1,Predicted
3,Random
0,Random
3,Random
0,Random
1,Random
1,Random
7,Predicted
7,Predicted
7,Predicted
2,Random
3,Random
2,Random
1,Predicted
1,Predicted
1,Random
0,Random
3,Random
2,Random
3,Random
3,Random
3,Random
7,Predicted
2,Random
1,Predicted
0,Random
1,Predicted
1,Predicted
1,Predicted
5,Predicted
2,Random
3,Random
3,Random
1,Predicted
2,Random
5,Predicted
2,Random
2,Random
7,Predicted
1,Random
3,Random
5,Predicted
2,Random
2,Random
7,Predicted
0,Random
0,Random
3,Random
0,Random
3,Random
5,Predicted
3,Random
3,Random
3,Random
1,Random
0,Predicted
2,Random
1,Predicted
1,Predicted
2,Random
1,Random
3,Random
0,Random
0,Random
1,Random
1,Random
3,Random
0,Random
1,Predicted
1,Predicted
2,Random
0,Random
1,Random
0,Random
0,Random
1,Predicted
2,Random
0,Random
3,Random
1,Predicted
1,Predicted
1,Predicted
3,Random
2,Random
0,Random
1,Random
1,Random
1,Predicted
0,Random
3,Random
1,Predicted
5,Predicted
5,Predicted
2,Random
0,Random
2,Random
1,Random
3,Random
3,Random
2,Random
7,Predicted
0,Random
0,Random
1,Predicted
1,Random
2,Random
5,Predicted
2,Random
1,Predicted
3,Random
0,Random
1,Predicted
0,Random
1,Random
1,Random
3,Random
0,Random
2,Random
2,Random
2,Random
7,Predicted
2,Random
3,Random
2,Random
5,Predicted
1,Random
3,Random
1,Random
0,Random
3,Random
3,Random
2,Random
1,Random
0,Random
5,Predicted
1,Random
3,Random
0,Random
0,Random
0,Random
3,Random
0,Random
2,Random
1,Random
7,Predicted
3,Random
3,Random
0,Random
1,Random
5,Predicted
2,Random
0,Random
2,Random
1,Random
5,Predicted
5,Predicted
1,Random
0,Random
1,Random
5,Predicted
5,Predicted
3,Random
0,Random
5,Predicted
5,Predicted
5,Predicted
1,Random
1,Random
1,Random
0,Random
0,Random
3,Random
3,Random
0,Random
1,Random
2,Random
5,Predicted
2,Random
1,Random
0,Random
3,Random
2,Random
0,Random
2,Random
3,Random
2,Random
1,Predicted
1,Predicted
1,Predicted
1,Random
2,Random
1,Random
2,Random
5,Predicted
1,Random
1,Predicted
0,Random
0,Random
0,Random
1,Random
2,Random
0,Random
2,Random
2,Random
0,Random
5,Predicted
2,Random
3,Random
3,Random
0,Random
3,Random
1,Random
3,Random
1,Random
1,Predicted
0,Predicted
2,Random
0,Random
5,Predicted
2,Random
2,Random
2,Random
1,Random
2,Random
3,Random
2,Random
0,Random
3,Random
0,Random
1,Random
0,Random
2,Random
3,Random
3,Random
1,Random
3,Random
1,Random
2,Random
5,Predicted
2,Random
1,Random
3,Random
3,Random
7,Predicted
0,Random
2,Random
2,Random
2,Random
1,Random
1,Random
1,Predicted
0,Random
0,Random
1,Random
1,Predicted
5,Predicted
0,Random
2,Random
3,Random
5,Predicted
0,Random
1,Random
0,Random
0,Random
5,Predicted
3,Random
5,Predicted
1,Random
5,Predicted
5,Predicted
2,Random
0,Random
3,Random
2,Random
2,Random
2,Random
1,Random
0,Random
5,Predicted
5,Predicted
3,Random
2,Random
2,Random
1,Predicted
0,Random
0,Random
3,Random
1,Predicted
0,Random
0,Random
1,Random
3,Random
1,Predicted
1,Predicted
3,Random
2,Random
5,Predicted
1,Random
2,Random
5,Predicted
3,Random
3,Random
1,Predicted
2,Random
3,Random
2,Random
1,Predicted
2,Random
2,Random
2,Random
3,Random
2,Random
1,Random
5,Predicted
1,Random
2,Random
3,Random
5,Predicted
1,Predicted
0,Random
2,Random
1,Random
1,Random
3,Random
1,Predicted
1,Random
0,Random
2,Random
2,Random
1,Predicted
2,Random
1,Predicted
2,Random
1,Random
3,Random
1,Predicted
2,Random
1,Predicted
1,Random
1,Random
3,Random
3,Random
1,Predicted
1,Predicted
2,Random
2,Random
1,Predicted
1,Predicted
0,Random
1,Random
1,Predicted
3,Random
1,Random
1,Random
2,Random
3,Random
1,Random
0,Random
0,Random
1,Random
2,Random
3,Random
0,Random
0,Random
3,Random
1,Random
3,Random
1,Predicted
1,Predicted
2,Random
2,Random
3,Random
1,Predicted
1,Random
3,Random
1,Random
0,Random
3,Random
1,Predicted
1,Random
0,Random
2,Random
1,Random
1,Predicted
1,Random
1,Predicted
1,Predicted
1,Predicted
2,Random
2,Random
0,Random
1,Predicted
2,Random
2,Random
2,Random
1,Random
1,Predicted
2,Random
2,Random
3,Random
3,Random
3,Random
1,Random
1,Predicted
0,Random
0,Random
1,Predicted
2,Random
1,Random
1,Predicted
1,Random
1,Predicted
3,Random
3,Random
1,Predicted
3,Random
2,Random
7,Predicted
1,Random
5,Predicted
5,Predicted
1,Random
2,Random
1,Random
7,Predicted
3,Random
1,Predicted
3,Random
0,Random
0,Random
3,Random
1,Predicted
1,Random
0,Random
3,Random
7,Predicted
0,Random
3,Random
2,Random
6,Predicted
2,Random
0,Random
7,Predicted
0,Random
7,Predicted
3,Random
3,Random
1,Random
2,Random
7,Predicted
0,Random
7,Predicted
0,Random
6,Predicted
2,Random
1,Random
1,Random
2,Random
0,Random
1,Random
3,Random
7,Predicted
1,Random
7,Predicted
3,Random
1,Predicted
1,Random
0,Random
1,Random
5,Predicted
3,Random
1,Predicted
0,Random
1,Random
0,Random
6,Predicted
1,Random
2,Random
1,Predicted
1,Random
2,Random
2,Random
0,Random
1,Random
0,Random
1,Random
0,Random
0,Random
1,Predicted
1,Predicted
7,Predicted
3,Random
7,Predicted
7,Predicted
0,Random
1,Predicted
2,Random
0,Random
5,Predicted
7,Predicted
2,Random
1,Predicted
0,Random
0,Random
1,Predicted
3,Random
2,Random
2,Random
7,Predicted
1,Random
3,Random
1,Random
3,Random
3,Random
1,Predicted
1,Predicted
1,Random
5,Predicted
3,Random
2,Random
3,Random
2,Random
3,Random
2,Random
5,Predicted
3,Random
3,Random
3,Random
2,Random
5,Predicted
1,Random
2,Random
5,Predicted
3,Random
5,Predicted
5,Predicted
3,Random
3,Random
1,Random
1,Random
3,Random
0,Random
5,Predicted
1,Predicted
0,Random
5,Predicted
3,Random
3,Random
1,Random
0,Random
5,Predicted
2,Random
5,Predicted
3,Random
3,Random
5,Predicted
3,Random
1,Random
5,Predicted
0,Random
5,Predicted
0,Random
1,Random
2,Random
2,Random
0,Random
3,Random
3,Random
1,Random
1,Random
1,Random
